

Espécie: Australopithecus afarensis
Melhor indivíduo	Score	Geraçao
[25.0, 17.71, 10.26, 24.99]	0.72034	999
[25.0, 14.08, 16.96, 19.32]	0.7604	1000
[25.0, 18.44, 10.53, 24.95]	0.72872	999
[25.0, 15.54, 12.59, 24.97]	0.74444	1000
[25.0, 19.67, 11.03, 25.0]	0.7445	1000
[24.99, 18.4, 11.45, 24.93]	0.74294	1000
[25.0, 13.79, 14.88, 22.81]	0.7533	1000
[25.0, 18.22, 9.89, 24.99]	0.71748	1000
[25.0, 15.64, 16.43, 19.75]	0.76472	1000
[25.0, 14.37, 24.99, 10.55]	0.82046	1000
[24.99, 17.28, 10.16, 25.0]	0.71614	1000
[24.99, 13.59, 18.63, 15.58]	0.75416	1000
[24.99, 19.73, 11.44, 24.97]	0.75108	1000
[25.0, 14.25, 17.72, 17.23]	0.75686	1000
[25.0, 17.44, 10.73, 24.99]	0.72624	1000
[25.0, 20.17, 22.3, 13.7]	0.83742	1000
[24.99, 19.91, 8.6, 25.0]	0.70696	1000
[24.99, 13.95, 22.7, 13.17]	0.80216	1000
[25.0, 15.84, 12.19, 24.99]	0.74	1000
[24.99, 16.52, 13.73, 24.05]	0.7611	1000
[25.0, 17.14, 11.27, 24.98]	0.733	999
[24.99, 16.23, 13.5, 24.97]	0.76304	999
[24.99, 13.47, 13.17, 24.99]	0.74136	1000
[25.0, 14.28, 12.98, 25.0]	0.74336	1000
[24.99, 15.24, 11.07, 24.99]	0.71838	999
[25.0, 14.85, 19.09, 16.28]	0.77478	1000
[25.0, 15.89, 14.38, 22.18]	0.75286	1000
[24.98, 15.89, 12.72, 24.95]	0.74826	1000
[25.0, 19.12, 12.91, 24.15]	0.76448	1000
[25.0, 14.97, 16.65, 19.99]	0.76614	1000
[24.99, 15.33, 23.24, 11.97]	0.80948	999
[25.0, 13.55, 15.55, 21.96]	0.75578	1000
[25.0, 18.64, 10.34, 25.0]	0.72728	1000
[25.0, 17.28, 16.38, 18.28]	0.762	1000
[25.0, 16.12, 18.05, 16.7]	0.76912	999
[24.99, 17.47, 12.85, 24.99]	0.76024	1000
[25.0, 17.24, 11.88, 24.99]	0.74344	1000
[24.99, 15.8, 13.0, 24.98]	0.75254	1000
[25.0, 15.78, 15.72, 23.01]	0.78028	999
[25.0, 18.22, 11.52, 24.98]	0.74348	1000
[24.99, 16.68, 11.86, 25.0]	0.73974	1000
[25.0, 16.48, 10.58, 24.99]	0.71808	999
[25.0, 14.5, 21.43, 12.9]	0.78308	1000
[25.0, 16.89, 12.76, 24.78]	0.75374	1000
[25.0, 17.43, 9.92, 24.99]	0.71322	999
[25.0, 18.21, 19.22, 12.94]	0.7703	1000
[25.0, 16.12, 20.24, 14.31]	0.78504	1000
[25.0, 13.86, 24.99, 11.24]	0.82292	1000
[24.97, 16.36, 18.62, 16.2]	0.77538	1000
[24.99, 14.3, 14.86, 22.88]	0.7565	1000
Tempo de execução: 	23.15 segundos

Espécie: Homo erectus
Melhor indivíduo	Score	Geraçao
[25.0, 25.0, 25.0, 25.0]	1.0	594
[25.0, 25.0, 25.0, 25.0]	1.0	567
[25.0, 25.0, 25.0, 25.0]	1.0	563
[25.0, 25.0, 25.0, 25.0]	1.0	587
[25.0, 25.0, 25.0, 25.0]	1.0	586
[25.0, 25.0, 25.0, 25.0]	1.0	575
[25.0, 25.0, 25.0, 25.0]	1.0	595
[25.0, 25.0, 25.0, 25.0]	1.0	602
[25.0, 25.0, 25.0, 25.0]	1.0	645
[25.0, 25.0, 25.0, 25.0]	1.0	564
[25.0, 25.0, 25.0, 25.0]	1.0	567
[25.0, 25.0, 25.0, 25.0]	1.0	590
[25.0, 25.0, 25.0, 25.0]	1.0	601
[25.0, 25.0, 25.0, 25.0]	1.0	567
[25.0, 25.0, 25.0, 25.0]	1.0	633
[25.0, 25.0, 25.0, 25.0]	1.0	576
[25.0, 25.0, 25.0, 25.0]	1.0	637
[25.0, 25.0, 25.0, 25.0]	1.0	604
[25.0, 25.0, 25.0, 25.0]	1.0	621
[25.0, 25.0, 25.0, 25.0]	1.0	598
[25.0, 25.0, 25.0, 25.0]	1.0	598
[25.0, 25.0, 25.0, 25.0]	1.0	555
[25.0, 25.0, 25.0, 25.0]	1.0	617
[25.0, 25.0, 25.0, 25.0]	1.0	557
[25.0, 25.0, 25.0, 25.0]	1.0	598
[25.0, 25.0, 25.0, 25.0]	1.0	580
[25.0, 25.0, 25.0, 25.0]	1.0	559
[25.0, 25.0, 25.0, 25.0]	1.0	591
[25.0, 25.0, 25.0, 25.0]	1.0	610
[25.0, 25.0, 25.0, 25.0]	1.0	622
[25.0, 25.0, 25.0, 25.0]	1.0	601
[25.0, 25.0, 25.0, 25.0]	1.0	585
[25.0, 25.0, 25.0, 25.0]	1.0	615
[25.0, 25.0, 25.0, 25.0]	1.0	546
